source,locale,sourceBookKey,externalId,title,format,sizeLabel,label,description,downloadUrl,fileOrder
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,docx,736Kb,docx (736Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=1&f=docx,1
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,epub,2Mb,epub (2Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=1&f=epub,2
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,fb2,2Mb,fb2 (2Mb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=1&f=fb2,3
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,pdf,1Mb,pdf (1Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=1&f=pdf,4
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,rtf,21Mb,rtf (21Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=1&f=rtf,5
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,txt,2Mb,txt (2Mb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=1&f=txt,6
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,docx,165Kb,docx (165Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=2&f=docx,1
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,epub,2Mb,epub (2Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=2&f=epub,2
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,fb2,458Kb,fb2 (458Kb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=2&f=fb2,3
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,pdf,1Mb,pdf (1Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=2&f=pdf,4
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,rtf,802Kb,rtf (802Kb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=2&f=rtf,5
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,txt,443Kb,txt (443Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=2&f=txt,6
mukitob,az,mukitob:az:3,3,Ər duasının gücü,docx,314Kb,docx (314Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=3&f=docx,1
mukitob,az,mukitob:az:3,3,Ər duasının gücü,epub,1Mb,epub (1Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=3&f=epub,2
mukitob,az,mukitob:az:3,3,Ər duasının gücü,fb2,483Kb,fb2 (483Kb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=3&f=fb2,3
mukitob,az,mukitob:az:3,3,Ər duasının gücü,pdf,2Mb,pdf (2Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=3&f=pdf,4
mukitob,az,mukitob:az:3,3,Ər duasının gücü,rtf,4Mb,rtf (4Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=3&f=rtf,5
mukitob,az,mukitob:az:3,3,Ər duasının gücü,txt,550Kb,txt (550Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=3&f=txt,6
mukitob,az,mukitob:az:4,4,Düzgün seçim,docx,175Kb,docx (175Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=4&f=docx,1
mukitob,az,mukitob:az:4,4,Düzgün seçim,epub,10Mb,epub (10Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=4&f=epub,2
mukitob,az,mukitob:az:4,4,Düzgün seçim,fb2,17Mb,fb2 (17Mb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=4&f=fb2,3
mukitob,az,mukitob:az:4,4,Düzgün seçim,pdf,20Mb,pdf (20Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=4&f=pdf,4
mukitob,az,mukitob:az:4,4,Düzgün seçim,rtf,5Mb,rtf (5Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=4&f=rtf,5
mukitob,az,mukitob:az:4,4,Düzgün seçim,txt,432Kb,txt (432Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=4&f=txt,6
mukitob,az,mukitob:az:4,4,Düzgün seçim,mp3,,mp3,MP3 - audio-faylların qulaq asılması üçün ən geniş yayılmış formatdır.,https://mukitob.com/books/az/audio.php?id_book=4,7
mukitob,az,mukitob:az:5,5,Sarsilmaz,docx,323Kb,docx (323Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=5&f=docx,1
mukitob,az,mukitob:az:5,5,Sarsilmaz,epub,2Mb,epub (2Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=5&f=epub,2
mukitob,az,mukitob:az:5,5,Sarsilmaz,fb2,568Kb,fb2 (568Kb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=5&f=fb2,3
mukitob,az,mukitob:az:5,5,Sarsilmaz,pdf,1Mb,pdf (1Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=5&f=pdf,4
mukitob,az,mukitob:az:5,5,Sarsilmaz,rtf,7Mb,rtf (7Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=5&f=rtf,5
mukitob,az,mukitob:az:5,5,Sarsilmaz,txt,725Kb,txt (725Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=5&f=txt,6
mukitob,az,mukitob:az:5,5,Sarsilmaz,mp3,,mp3,MP3 - audio-faylların qulaq asılması üçün ən geniş yayılmış formatdır.,https://mukitob.com/books/az/audio.php?id_book=5,7
mukitob,az,mukitob:az:5,5,Sarsilmaz,mp4,,mp4,MP4 video-fayllara baxmaq üçün geniş yayılmış formatdır.,https://mukitob.com/books/az/video.php?id_book=5,8
mukitob,az,mukitob:az:6,6,"O, yalnız dülgər deyildi",docx,402Kb,docx (402Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=6&f=docx,1
mukitob,az,mukitob:az:6,6,"O, yalnız dülgər deyildi",epub,408Kb,epub (408Kb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=6&f=epub,2
mukitob,az,mukitob:az:6,6,"O, yalnız dülgər deyildi",fb2,692Kb,fb2 (692Kb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=6&f=fb2,3
mukitob,az,mukitob:az:6,6,"O, yalnız dülgər deyildi",pdf,819Kb,pdf (819Kb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=6&f=pdf,4
mukitob,az,mukitob:az:6,6,"O, yalnız dülgər deyildi",rtf,12Mb,rtf (12Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=6&f=rtf,5
mukitob,az,mukitob:az:6,6,"O, yalnız dülgər deyildi",txt,259Kb,txt (259Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=6&f=txt,6
mukitob,az,mukitob:az:7,7,Dua edən arvadin gücü,docx,347Kb,docx (347Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=7&f=docx,1
mukitob,az,mukitob:az:7,7,Dua edən arvadin gücü,epub,514Kb,epub (514Kb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=7&f=epub,2
mukitob,az,mukitob:az:7,7,Dua edən arvadin gücü,fb2,604Kb,fb2 (604Kb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=7&f=fb2,3
mukitob,az,mukitob:az:7,7,Dua edən arvadin gücü,pdf,2Mb,pdf (2Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=7&f=pdf,4
mukitob,az,mukitob:az:7,7,Dua edən arvadin gücü,rtf,5Mb,rtf (5Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=7&f=rtf,5
mukitob,az,mukitob:az:7,7,Dua edən arvadin gücü,txt,293Kb,txt (293Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=7&f=txt,6
mukitob,az,mukitob:az:8,8,Firtinaya dözmək,docx,512Kb,docx (512Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=8&f=docx,1
mukitob,az,mukitob:az:8,8,Firtinaya dözmək,epub,479Kb,epub (479Kb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=8&f=epub,2
mukitob,az,mukitob:az:8,8,Firtinaya dözmək,fb2,1Mb,fb2 (1Mb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=8&f=fb2,3
mukitob,az,mukitob:az:8,8,Firtinaya dözmək,pdf,5Mb,pdf (5Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=8&f=pdf,4
mukitob,az,mukitob:az:8,8,Firtinaya dözmək,rtf,21Mb,rtf (21Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=8&f=rtf,5
mukitob,az,mukitob:az:8,8,Firtinaya dözmək,txt,783Kb,txt (783Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=8&f=txt,6
mukitob,az,mukitob:az:9,9,Dua edən qadının gücü,docx,334Kb,docx (334Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=9&f=docx,1
mukitob,az,mukitob:az:9,9,Dua edən qadının gücü,epub,2Mb,epub (2Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=9&f=epub,2
mukitob,az,mukitob:az:9,9,Dua edən qadının gücü,fb2,549Kb,fb2 (549Kb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=9&f=fb2,3
mukitob,az,mukitob:az:9,9,Dua edən qadının gücü,pdf,2Mb,pdf (2Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=9&f=pdf,4
mukitob,az,mukitob:az:9,9,Dua edən qadının gücü,rtf,4Mb,rtf (4Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=9&f=rtf,5
mukitob,az,mukitob:az:9,9,Dua edən qadının gücü,txt,666Kb,txt (666Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=9&f=txt,6
mukitob,az,mukitob:az:10,10,Yaralanmiş ürək,docx,646Kb,docx (646Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=10&f=docx,1
mukitob,az,mukitob:az:10,10,Yaralanmiş ürək,epub,814Kb,epub (814Kb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=10&f=epub,2
mukitob,az,mukitob:az:10,10,Yaralanmiş ürək,fb2,1Mb,fb2 (1Mb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=10&f=fb2,3
mukitob,az,mukitob:az:10,10,Yaralanmiş ürək,pdf,5Mb,pdf (5Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=10&f=pdf,4
mukitob,az,mukitob:az:10,10,Yaralanmiş ürək,rtf,7Mb,rtf (7Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=10&f=rtf,5
mukitob,az,mukitob:az:10,10,Yaralanmiş ürək,txt,677Kb,txt (677Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=10&f=txt,6
mukitob,az,mukitob:az:11,11,Uydurmalar və həqiqət,docx,198Kb,docx (198Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=11&f=docx,1
mukitob,az,mukitob:az:11,11,Uydurmalar və həqiqət,epub,3Mb,epub (3Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=11&f=epub,2
mukitob,az,mukitob:az:11,11,Uydurmalar və həqiqət,fb2,4Mb,fb2 (4Mb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=11&f=fb2,3
mukitob,az,mukitob:az:11,11,Uydurmalar və həqiqət,pdf,11Mb,pdf (11Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=11&f=pdf,4
mukitob,az,mukitob:az:11,11,Uydurmalar və həqiqət,rtf,4Mb,rtf (4Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=11&f=rtf,5
mukitob,az,mukitob:az:11,11,Uydurmalar və həqiqət,txt,390Kb,txt (390Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=11&f=txt,6
mukitob,az,mukitob:az:12,12,Qadınların inandığı yalan,docx,590Kb,docx (590Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=12&f=docx,1
mukitob,az,mukitob:az:12,12,Qadınların inandığı yalan,epub,535Kb,epub (535Kb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=12&f=epub,2
mukitob,az,mukitob:az:12,12,Qadınların inandığı yalan,fb2,983Kb,fb2 (983Kb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=12&f=fb2,3
mukitob,az,mukitob:az:12,12,Qadınların inandığı yalan,pdf,2Mb,pdf (2Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=12&f=pdf,4
mukitob,az,mukitob:az:12,12,Qadınların inandığı yalan,rtf,10Mb,rtf (10Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=12&f=rtf,5
mukitob,az,mukitob:az:12,12,Qadınların inandığı yalan,txt,472Kb,txt (472Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=12&f=txt,6
mukitob,az,mukitob:az:13,13,Şahid,docx,309Kb,docx (309Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=13&f=docx,1
mukitob,az,mukitob:az:13,13,Şahid,epub,2Mb,epub (2Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=13&f=epub,2
mukitob,az,mukitob:az:13,13,Şahid,fb2,510Kb,fb2 (510Kb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=13&f=fb2,3
mukitob,az,mukitob:az:13,13,Şahid,pdf,736Kb,pdf (736Kb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=13&f=pdf,4
mukitob,az,mukitob:az:13,13,Şahid,rtf,6Mb,rtf (6Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=13&f=rtf,5
mukitob,az,mukitob:az:13,13,Şahid,txt,619Kb,txt (619Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=13&f=txt,6
mukitob,az,mukitob:az:13,13,Şahid,mp3,,mp3,MP3 - audio-faylların qulaq asılması üçün ən geniş yayılmış formatdır.,https://mukitob.com/books/az/audio.php?id_book=13,7
mukitob,az,mukitob:az:14,14,Valideyn duasının gücü,docx,283Kb,docx (283Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=14&f=docx,1
