source,locale,sourceBookKey,externalId,title,subtitle,author,description,detailUrl,readUrl,imageUrl,previewPages,hasAudio,downloadCount,downloadFormats,downloadLinksJson
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,,Fransin Rivers,,https://mukitob.com/books/az/book.php?id_book=1,https://mukitob.com/books/az/read.php?id_book=1,https://mukitob.com/books/covers/az/1.jpg,39,false,6,"docx, epub, fb2, pdf, rtf, txt","[{""format"":""docx"",""sizeLabel"":""736Kb"",""label"":""docx (736Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=1&f=docx""},{""format"":""epub"",""sizeLabel"":""2Mb"",""label"":""epub (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=1&f=epub""},{""format"":""fb2"",""sizeLabel"":""2Mb"",""label"":""fb2 (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=1&f=fb2""},{""format"":""pdf"",""sizeLabel"":""1Mb"",""label"":""pdf (1Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=1&f=pdf""},{""format"":""rtf"",""sizeLabel"":""21Mb"",""label"":""rtf (21Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=1&f=rtf""},{""format"":""txt"",""sizeLabel"":""2Mb"",""label"":""txt (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=1&f=txt""}]"
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,Allah nə üçün çətin zamanlara izn verir,Çarlz Stenli,"Pastor Çarlz Stenli müəllifi olduğu kitabında göstərir ki, iztirab — Allahın bizə xeyir-dua vermək üçün istifadə etdiyi bir vasitədir. İztiraba belə baxış — ağlasığmaz gücdür. O, istənilən sınağa və çətinliklərə sinə gəlməkdə bizə kömək etmək qüdrətinə malikdir və bilirik ki, səadət naminə bizə xidmət göstərəcəkdir.",https://mukitob.com/books/az/book.php?id_book=2,https://mukitob.com/books/az/read.php?id_book=2,https://mukitob.com/books/covers/az/2.jpg,45,false,6,"docx, epub, fb2, pdf, rtf, txt","[{""format"":""docx"",""sizeLabel"":""165Kb"",""label"":""docx (165Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=2&f=docx""},{""format"":""epub"",""sizeLabel"":""2Mb"",""label"":""epub (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=2&f=epub""},{""format"":""fb2"",""sizeLabel"":""458Kb"",""label"":""fb2 (458Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=2&f=fb2""},{""format"":""pdf"",""sizeLabel"":""1Mb"",""label"":""pdf (1Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=2&f=pdf""},{""format"":""rtf"",""sizeLabel"":""802Kb"",""label"":""rtf (802Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=2&f=rtf""},{""format"":""txt"",""sizeLabel"":""443Kb"",""label"":""txt (443Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=2&f=txt""}]"
mukitob,az,mukitob:az:3,3,Ər duasının gücü,,Stormi Omartian,,https://mukitob.com/books/az/book.php?id_book=3,https://mukitob.com/books/az/read.php?id_book=3,https://mukitob.com/books/covers/az/3.jpg,66,false,6,"docx, epub, fb2, pdf, rtf, txt","[{""format"":""docx"",""sizeLabel"":""314Kb"",""label"":""docx (314Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=3&f=docx""},{""format"":""epub"",""sizeLabel"":""1Mb"",""label"":""epub (1Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=3&f=epub""},{""format"":""fb2"",""sizeLabel"":""483Kb"",""label"":""fb2 (483Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=3&f=fb2""},{""format"":""pdf"",""sizeLabel"":""2Mb"",""label"":""pdf (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=3&f=pdf""},{""format"":""rtf"",""sizeLabel"":""4Mb"",""label"":""rtf (4Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=3&f=rtf""},{""format"":""txt"",""sizeLabel"":""550Kb"",""label"":""txt (550Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=3&f=txt""}]"
mukitob,az,mukitob:az:4,4,Düzgün seçim,İbrətamiz Müqəddəs Kitab hekayələri,Coş və Dotti Makdauel,Bu ibrətamiz Müqəddəs Kitab hekayələri toplusu 5–10 yaşlı uşaqlar üçün yazılıb. Müqəddəs Yazı personajlarının nümunəsi uşaqlarınıza həqiqəti yalandan ayırmağı öyrənməyə və hər bir həyat şəraitində düzgün seçim etməyə kömək edəcək.,https://mukitob.com/books/az/book.php?id_book=4,https://mukitob.com/books/az/read.php?id_book=4,https://mukitob.com/books/covers/az/4.jpg,53,true,7,"docx, epub, fb2, pdf, rtf, txt, mp3","[{""format"":""docx"",""sizeLabel"":""175Kb"",""label"":""docx (175Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=4&f=docx""},{""format"":""epub"",""sizeLabel"":""10Mb"",""label"":""epub (10Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=4&f=epub""},{""format"":""fb2"",""sizeLabel"":""17Mb"",""label"":""fb2 (17Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=4&f=fb2""},{""format"":""pdf"",""sizeLabel"":""20Mb"",""label"":""pdf (20Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=4&f=pdf""},{""format"":""rtf"",""sizeLabel"":""5Mb"",""label"":""rtf (5Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=4&f=rtf""},{""format"":""txt"",""sizeLabel"":""432Kb"",""label"":""txt (432Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=4&f=txt""},{""format"":""mp3"",""sizeLabel"":"""",""label"":""mp3"",""downloadUrl"":""https://mukitob.com/books/az/audio.php?id_book=4""}]"
mukitob,az,mukitob:az:5,5,Sarsilmaz,Dəhşətli xatirələrdən son dərəcə fövqəladə lütf yoluna keçən insanın həqiqi həyat hekayəsi,Coş Makdauell | Kristobal Kruzenin müəllifliyi ilə,"Bu kitabda Coş Makdauell özü haqqında açıq və səmimi danışır. Coş hələ gənc yaşlarından, İsa Məsihin İlahiliyi barədə təlimin uydurma olduğunu sübut etməyə çalışmışdı. Bu məqsədlə də o, qədim dövrlərdə bu hadisələr barədə yazılmış bir çox tarixi sənədləri araşdırmağa başlamış və bu mövzudan başı çıxan adamlarla uzun-uzadı söhbətlər etmişdi. Nəticədə isə, İsa Məsihin sadiq ardıcılına çevrilmişdi.",https://mukitob.com/books/az/book.php?id_book=5,https://mukitob.com/books/az/read.php?id_book=5,https://mukitob.com/books/covers/az/5.jpg,54,true,8,"docx, epub, fb2, pdf, rtf, txt, mp3, mp4","[{""format"":""docx"",""sizeLabel"":""323Kb"",""label"":""docx (323Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=5&f=docx""},{""format"":""epub"",""sizeLabel"":""2Mb"",""label"":""epub (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=5&f=epub""},{""format"":""fb2"",""sizeLabel"":""568Kb"",""label"":""fb2 (568Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=5&f=fb2""},{""format"":""pdf"",""sizeLabel"":""1Mb"",""label"":""pdf (1Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=5&f=pdf""},{""format"":""rtf"",""sizeLabel"":""7Mb"",""label"":""rtf (7Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=5&f=rtf""},{""format"":""txt"",""sizeLabel"":""725Kb"",""label"":""txt (725Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=5&f=txt""},{""format"":""mp3"",""sizeLabel"":"""",""label"":""mp3"",""downloadUrl"":""https://mukitob.com/books/az/audio.php?id_book=5""},{""format"":""mp4"",""sizeLabel"":"""",""label"":""mp4"",""downloadUrl"":""https://mukitob.com/books/az/video.php?id_book=5""}]"
mukitob,az,mukitob:az:6,6,"O, yalnız dülgər deyildi","Dika və Şarlotta Deyə Onların həyatı həmişə göstərirdi ki, İsa Məsih adi dülgər deyil",Coş Makdauell,,https://mukitob.com/books/az/book.php?id_book=6,https://mukitob.com/books/az/read.php?id_book=6,https://mukitob.com/books/covers/az/6.jpg,43,false,6,"docx, epub, fb2, pdf, rtf, txt","[{""format"":""docx"",""sizeLabel"":""402Kb"",""label"":""docx (402Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=6&f=docx""},{""format"":""epub"",""sizeLabel"":""408Kb"",""label"":""epub (408Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=6&f=epub""},{""format"":""fb2"",""sizeLabel"":""692Kb"",""label"":""fb2 (692Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=6&f=fb2""},{""format"":""pdf"",""sizeLabel"":""819Kb"",""label"":""pdf (819Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=6&f=pdf""},{""format"":""rtf"",""sizeLabel"":""12Mb"",""label"":""rtf (12Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=6&f=rtf""},{""format"":""txt"",""sizeLabel"":""259Kb"",""label"":""txt (259Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=6&f=txt""}]"
mukitob,az,mukitob:az:7,7,Dua edən arvadin gücü,,Stormie Omartian,,https://mukitob.com/books/az/book.php?id_book=7,https://mukitob.com/books/az/read.php?id_book=7,https://mukitob.com/books/covers/az/7.jpg,41,false,6,"docx, epub, fb2, pdf, rtf, txt","[{""format"":""docx"",""sizeLabel"":""347Kb"",""label"":""docx (347Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=7&f=docx""},{""format"":""epub"",""sizeLabel"":""514Kb"",""label"":""epub (514Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=7&f=epub""},{""format"":""fb2"",""sizeLabel"":""604Kb"",""label"":""fb2 (604Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=7&f=fb2""},{""format"":""pdf"",""sizeLabel"":""2Mb"",""label"":""pdf (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=7&f=pdf""},{""format"":""rtf"",""sizeLabel"":""5Mb"",""label"":""rtf (5Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=7&f=rtf""},{""format"":""txt"",""sizeLabel"":""293Kb"",""label"":""txt (293Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=7&f=txt""}]"
mukitob,az,mukitob:az:8,8,Firtinaya dözmək,Dərs vəsaiti,Pol Estebruks,,https://mukitob.com/books/az/book.php?id_book=8,https://mukitob.com/books/az/read.php?id_book=8,https://mukitob.com/books/covers/az/8.jpg,42,false,6,"docx, epub, fb2, pdf, rtf, txt","[{""format"":""docx"",""sizeLabel"":""512Kb"",""label"":""docx (512Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=8&f=docx""},{""format"":""epub"",""sizeLabel"":""479Kb"",""label"":""epub (479Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=8&f=epub""},{""format"":""fb2"",""sizeLabel"":""1Mb"",""label"":""fb2 (1Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=8&f=fb2""},{""format"":""pdf"",""sizeLabel"":""5Mb"",""label"":""pdf (5Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=8&f=pdf""},{""format"":""rtf"",""sizeLabel"":""21Mb"",""label"":""rtf (21Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=8&f=rtf""},{""format"":""txt"",""sizeLabel"":""783Kb"",""label"":""txt (783Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=8&f=txt""}]"
mukitob,az,mukitob:az:9,9,Dua edən qadının gücü,,Stormi Omartian,"Bəzən elə olur ki, qadınlar öz həyatlarını dəyişmək istəyirlər. Lakin Allahın köməyi olmadan zamanın sınağından keçmiş dəyişiklik mümkün deyil. Stormi Omartian həyatdan nümunələr gətirməklə qadınların duasından və bu duanın nə dərəcədə effektli olmasından bəhs edir. Müəllif özü üçün vəsatət edən bir neçə dua nümunəsi təklif edir. Bu duaların sayəsində həyatın dolğunluğunu tamamilə hiss edə və Allahın sizin qarşınıza qoyduğu məqsədə nail ola bilərsiniz.",https://mukitob.com/books/az/book.php?id_book=9,https://mukitob.com/books/az/read.php?id_book=9,https://mukitob.com/books/covers/az/9.jpg,48,false,6,"docx, epub, fb2, pdf, rtf, txt","[{""format"":""docx"",""sizeLabel"":""334Kb"",""label"":""docx (334Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=9&f=docx""},{""format"":""epub"",""sizeLabel"":""2Mb"",""label"":""epub (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=9&f=epub""},{""format"":""fb2"",""sizeLabel"":""549Kb"",""label"":""fb2 (549Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=9&f=fb2""},{""format"":""pdf"",""sizeLabel"":""2Mb"",""label"":""pdf (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=9&f=pdf""},{""format"":""rtf"",""sizeLabel"":""4Mb"",""label"":""rtf (4Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=9&f=rtf""},{""format"":""txt"",""sizeLabel"":""666Kb"",""label"":""txt (666Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=9&f=txt""}]"
mukitob,az,mukitob:az:10,10,Yaralanmiş ürək,,Den Allender,"Dünya şöhrətli psixoterapevt və ilahiyyatçı Den Allender bu kitabda cinsi təcavüzü həm psixoloji, həm də Müqəddəs Kitab nöqteyi-nəzərindən açıqlayır. Eyni zamanda təcavüzün qurbanı olmuş insanlara Allahın şəfa yolunu göstərir. Bu şəfaya yol yeni əzablardan ötrü dəyər ödəmək bahasına başa gəlir. Lakin bu, həyata aparan yoldur, öz yolçularını sevgi ilə fərqləndirir. Bu kitab uşaqlıqda cinsi təcavüzə məruz qalan böyüklər üçün ümiddir.",https://mukitob.com/books/az/book.php?id_book=10,https://mukitob.com/books/az/read.php?id_book=10,https://mukitob.com/books/covers/az/10.jpg,39,false,6,"docx, epub, fb2, pdf, rtf, txt","[{""format"":""docx"",""sizeLabel"":""646Kb"",""label"":""docx (646Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=10&f=docx""},{""format"":""epub"",""sizeLabel"":""814Kb"",""label"":""epub (814Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=10&f=epub""},{""format"":""fb2"",""sizeLabel"":""1Mb"",""label"":""fb2 (1Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=10&f=fb2""},{""format"":""pdf"",""sizeLabel"":""5Mb"",""label"":""pdf (5Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=10&f=pdf""},{""format"":""rtf"",""sizeLabel"":""7Mb"",""label"":""rtf (7Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=10&f=rtf""},{""format"":""txt"",""sizeLabel"":""677Kb"",""label"":""txt (677Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=10&f=txt""}]"
mukitob,az,mukitob:az:11,11,Uydurmalar və həqiqət,,Coş Makdauell | Bob Xostetler,,https://mukitob.com/books/az/book.php?id_book=11,https://mukitob.com/books/az/read.php?id_book=11,https://mukitob.com/books/covers/az/11.jpg,38,false,6,"docx, epub, fb2, pdf, rtf, txt","[{""format"":""docx"",""sizeLabel"":""198Kb"",""label"":""docx (198Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=11&f=docx""},{""format"":""epub"",""sizeLabel"":""3Mb"",""label"":""epub (3Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=11&f=epub""},{""format"":""fb2"",""sizeLabel"":""4Mb"",""label"":""fb2 (4Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=11&f=fb2""},{""format"":""pdf"",""sizeLabel"":""11Mb"",""label"":""pdf (11Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=11&f=pdf""},{""format"":""rtf"",""sizeLabel"":""4Mb"",""label"":""rtf (4Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=11&f=rtf""},{""format"":""txt"",""sizeLabel"":""390Kb"",""label"":""txt (390Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=11&f=txt""}]"
mukitob,az,mukitob:az:12,12,Qadınların inandığı yalan,və azad edən həqiqət,Nensi Demos,,https://mukitob.com/books/az/book.php?id_book=12,https://mukitob.com/books/az/read.php?id_book=12,https://mukitob.com/books/covers/az/12.jpg,34,false,6,"docx, epub, fb2, pdf, rtf, txt","[{""format"":""docx"",""sizeLabel"":""590Kb"",""label"":""docx (590Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=12&f=docx""},{""format"":""epub"",""sizeLabel"":""535Kb"",""label"":""epub (535Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=12&f=epub""},{""format"":""fb2"",""sizeLabel"":""983Kb"",""label"":""fb2 (983Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=12&f=fb2""},{""format"":""pdf"",""sizeLabel"":""2Mb"",""label"":""pdf (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=12&f=pdf""},{""format"":""rtf"",""sizeLabel"":""10Mb"",""label"":""rtf (10Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=12&f=rtf""},{""format"":""txt"",""sizeLabel"":""472Kb"",""label"":""txt (472Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=12&f=txt""}]"
mukitob,az,mukitob:az:13,13,Şahid,,Coş Mak-Dauel,"O, qətlin, adam oğurluğunun və zorakılığın şahidi olur. Bütün bunları isə peşəsi cinayətkar axtarmaq olan biri törədir. Ondan qurtulmaq üçün işi elə qururlar ki, bu dəhşətli cinayətlərin əsasında məhz o dayanmalı olur. Onlar onu əsas şübhəli şəxs qismində təqdim edirlər. Ona isə yalnız qaçmaq qalır. Lakin düşmənlər onu Avropanın altı ölkəsi, Cənubi Afrika və Yaxın Şərq sərhədləri boyunca daim təqib edirlər. O, gizlənmək, kölgəyə sığınmaq istəyir, lakin əvvəllər onun üçün sirr olan həqiqətə aydınlıq gəlməklə qaranlıqda işıq saçır.",https://mukitob.com/books/az/book.php?id_book=13,https://mukitob.com/books/az/read.php?id_book=13,https://mukitob.com/books/covers/az/13.jpg,42,true,7,"docx, epub, fb2, pdf, rtf, txt, mp3","[{""format"":""docx"",""sizeLabel"":""309Kb"",""label"":""docx (309Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=13&f=docx""},{""format"":""epub"",""sizeLabel"":""2Mb"",""label"":""epub (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=13&f=epub""},{""format"":""fb2"",""sizeLabel"":""510Kb"",""label"":""fb2 (510Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=13&f=fb2""},{""format"":""pdf"",""sizeLabel"":""736Kb"",""label"":""pdf (736Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=13&f=pdf""},{""format"":""rtf"",""sizeLabel"":""6Mb"",""label"":""rtf (6Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=13&f=rtf""},{""format"":""txt"",""sizeLabel"":""619Kb"",""label"":""txt (619Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=13&f=txt""},{""format"":""mp3"",""sizeLabel"":"""",""label"":""mp3"",""downloadUrl"":""https://mukitob.com/books/az/audio.php?id_book=13""}]"
mukitob,az,mukitob:az:14,14,Valideyn duasının gücü,,Stormi Omartian,,https://mukitob.com/books/az/book.php?id_book=14,https://mukitob.com/books/az/read.php?id_book=14,https://mukitob.com/books/covers/az/14.jpg,42,false,6,"docx, epub, fb2, pdf, rtf, txt","[{""format"":""docx"",""sizeLabel"":""283Kb"",""label"":""docx (283Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=14&f=docx""},{""format"":""epub"",""sizeLabel"":""1Mb"",""label"":""epub (1Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=14&f=epub""},{""format"":""fb2"",""sizeLabel"":""407Kb"",""label"":""fb2 (407Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=14&f=fb2""},{""format"":""pdf"",""sizeLabel"":""2Mb"",""label"":""pdf (2Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=14&f=pdf""},{""format"":""rtf"",""sizeLabel"":""6Mb"",""label"":""rtf (6Mb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=14&f=rtf""},{""format"":""txt"",""sizeLabel"":""450Kb"",""label"":""txt (450Kb)"",""downloadUrl"":""https://mukitob.com/books/az/download.php?id_book=14&f=txt""}]"
